Subject_id,Cluster
1,2
2,4
3,1
4,5
5,6
6,6
7,6
8,4
9,1
10,6
11,2
12,1
13,6
14,1
15,6
16,6
17,3
18,4
19,1
20,5
21,3
22,6
23,3
24,2
25,5
26,1
27,3
28,5
29,5
30,4
31,1
32,3
33,6
34,6
35,2
36,3
37,4
38,3
39,2
40,1
41,1
42,1
43,4
44,3
45,3
46,5
47,6
48,1
49,1
50,5
51,4
52,1
53,4
54,6
55,2
56,2
57,1
58,3
59,1
60,6
61,2
62,1
63,1
64,2
65,4
66,3
67,1
68,1
69,5
70,1
71,3
72,1
73,1
74,1
75,3
76,1
77,3
78,6
79,3
80,3
81,2
82,1
83,3
84,2
85,5
86,1
87,3
88,3
89,2
90,4
91,3
92,5
93,5
94,5
95,2
96,3
97,1
98,3
99,1
100,4
101,1
102,4
103,1
104,2
105,3
106,1
107,1
108,1
109,2
110,3
111,2
112,3
113,6
114,1
115,2
116,1
117,3
118,3
119,1
120,3
121,1
122,2
123,2
124,3
125,1
126,3
127,1
128,5
129,3
130,3
131,1
132,5
133,2
134,5
135,1
136,1
137,3
138,4
139,3
140,3
141,4
142,3
143,1
144,5
145,5
146,2
147,1
148,2
149,2
150,1
151,1
152,2
153,6
154,2
155,1
156,2
157,3
158,2
159,1
160,1
161,2
162,2
163,2
164,2
165,1
166,2
167,2
168,1
169,6
170,2
171,2
172,6
173,2
174,1
175,1
176,3
177,1
178,4
179,3
180,2
181,1
182,2
183,6
184,1
185,2
186,1
187,1
188,2
189,1
190,6
191,2
192,1
193,2
194,2
195,2
196,1
197,2
198,1
199,1
200,2
201,5
202,2
203,6
204,1
205,1
206,1
